lon,lat,Company,Timestamp
-76.9777832,38.92805481,Helbiz,3/1/2019 7:00
-76.9777832,38.92805099,Helbiz,3/1/2019 7:00
-76.97764587,38.92788315,Helbiz,3/1/2019 7:00
-76.95244598,38.94099426,Helbiz,3/1/2019 7:00
-76.95210266,38.94039154,Helbiz,3/1/2019 7:00
-76.97766876,38.92789459,Helbiz,3/1/2019 7:00
-76.97756958,38.92787933,Helbiz,3/1/2019 7:00
-76.95218658,38.94045639,Helbiz,3/1/2019 7:00
-76.97776794,38.92801666,Helbiz,3/1/2019 7:00
-76.98565674,38.92584229,Helbiz,3/1/2019 7:00
-76.97767639,38.92803574,Helbiz,3/1/2019 7:00
-76.9777298,38.92794037,Helbiz,3/1/2019 7:00
-76.97753143,38.92795944,Helbiz,3/1/2019 7:00
-77.03276062,38.93213272,Helbiz,3/1/2019 7:00
-76.95238495,38.94059372,Helbiz,3/1/2019 7:00
-77.01177979,38.95167542,Helbiz,3/1/2019 7:00
-76.95202637,38.94060516,Helbiz,3/1/2019 7:00
-77.0166626,38.95687866,Helbiz,3/1/2019 7:00
-76.97639465,38.92713547,Helbiz,3/1/2019 7:00
-77.06285858,38.90573502,Helbiz,3/1/2019 7:00
-76.95205688,38.9406395,Helbiz,3/1/2019 7:00
-76.97779846,38.92807007,Helbiz,3/1/2019 7:00
0,0,Helbiz,3/1/2019 7:00
-76.9777832,38.92803192,Helbiz,3/1/2019 7:00
-76.97772217,38.92803955,Helbiz,3/1/2019 7:00
-77.02709961,38.93258286,Helbiz,3/1/2019 7:00
-76.97769928,38.92783356,Helbiz,3/1/2019 7:00
-76.9776001,38.92806625,Helbiz,3/1/2019 7:00
-76.97766113,38.92802811,Helbiz,3/1/2019 7:00
-76.97763824,38.92786407,Helbiz,3/1/2019 7:00
-76.9777298,38.9281311,Helbiz,3/1/2019 7:00
-76.97769928,38.92797852,Helbiz,3/1/2019 7:00
-77.03418732,38.93234634,Helbiz,3/1/2019 7:00
-76.97776794,38.92795181,Helbiz,3/1/2019 7:00
-76.97781372,38.92803192,Helbiz,3/1/2019 7:00
-76.97753143,38.927948,Helbiz,3/1/2019 7:00
-76.97775269,38.92792892,Helbiz,3/1/2019 7:00
-77.0043335,38.83812332,Helbiz,3/1/2019 7:00
-76.94120789,38.87602997,Helbiz,3/1/2019 7:00
-77.04314423,38.90889359,Helbiz,3/1/2019 7:00
-76.97766113,38.92797089,Helbiz,3/1/2019 7:00
-77.02529907,38.94090271,Helbiz,3/1/2019 7:00
